start_time,end_time,delta,elapsed_time,message_size,sending,from,to,num_peers
1721405759.8220708,1721405759.8222232, ,0.00015234947204589844,105,False,80.57.135.211:8092,None,0
1721405759.8788252,1721405759.8789463, ,0.00012111663818359375,105,False,80.57.135.211:8093,None,1
1721405759.9186254,1721405759.9187944, ,0.0001690387725830078,105,False,80.57.135.211:8094,None,2
1721405760.1686962,1721405760.170786, ,0.0020897388458251953,3620,False,80.57.135.211:8093,80.57.135.211:8095,3
1721405764.7430038,1721405764.7530951,5,0.010091304779052734,5359,True,80.57.135.211:8095,80.57.135.211:8093,3
1721405773.54788,1721405773.5496583, ,0.0017783641815185547,6219,False,80.57.135.211:8094,80.57.135.211:8095,3
1721405774.75992,1721405774.7702377,5,0.010317802429199219,6185,True,80.57.135.211:8095,80.57.135.211:8092,3
1721405775.4531128,1721405775.453217, ,0.00010418891906738281,6185,False,80.57.135.211:8092,80.57.135.211:8095,3
1721405779.775211,1721405779.7843513,5,0.009140253067016602,6151,True,80.57.135.211:8095,80.57.135.211:8093,3
1721405780.2294679,1721405780.2426393, ,0.01317143440246582,6185,False,80.57.135.211:8093,80.57.135.211:8095,3
1721405780.470155,1721405780.4703043, ,0.00014925003051757812,6185,False,80.57.135.211:8092,80.57.135.211:8095,3
1721405784.7904882,1721405784.8004434,5,0.009955167770385742,6151,True,80.57.135.211:8095,80.57.135.211:8094,3
1721405789.8051076,1721405789.8151531,5,0.010045528411865234,6151,True,80.57.135.211:8095,80.57.135.211:8092,3
1721405795.2482882,1721405795.2484243, ,0.0001361370086669922,6185,False,80.57.135.211:8093,80.57.135.211:8095,3
1721405799.8218381,1721405799.8317297,5,0.009891510009765625,6151,True,80.57.135.211:8095,80.57.135.211:8092,3
1721405800.2680814,1721405800.2682145, ,0.00013303756713867188,6185,False,80.57.135.211:8093,80.57.135.211:8095,3
1721405804.8381932,1721405804.8506887,5,0.01249551773071289,6151,True,80.57.135.211:8095,80.57.135.211:8093,3
1721405815.3145106,1721405815.3164968, ,0.001986265182495117,6185,False,80.57.135.211:8093,80.57.135.211:8095,3
1721405819.8605494,1721405819.8699384,5,0.009388923645019531,6151,True,80.57.135.211:8095,80.57.135.211:8092,3
1721405830.3604076,1721405830.3624983, ,0.0020906925201416016,6185,False,80.57.135.211:8093,80.57.135.211:8095,3
1721405830.5931315,1721405830.5932662, ,0.0001347064971923828,6185,False,80.57.135.211:8092,80.57.135.211:8095,3
1721405834.878925,1721405834.889386,5,0.010460853576660156,6151,True,80.57.135.211:8095,80.57.135.211:8094,3
1721405839.8953078,1721405839.9050279,5,0.009720087051391602,6151,True,80.57.135.211:8095,80.57.135.211:8093,3
1721405840.3778517,1721405840.3779624, ,0.000110626220703125,6185,False,80.57.135.211:8093,80.57.135.211:8095,3
1721405844.9107814,1721405844.9202375,5,0.009456157684326172,6151,True,80.57.135.211:8095,80.57.135.211:8093,3
1721405850.4087844,1721405850.4106684, ,0.0018839836120605469,6185,False,80.57.135.211:8093,80.57.135.211:8095,3
1721405854.9281232,1721405854.9373968,5,0.009273529052734375,6151,True,80.57.135.211:8095,80.57.135.211:8094,3
1721405858.7263494,1721405858.7286358, ,0.0022864341735839844,6185,False,80.57.135.211:8094,80.57.135.211:8095,3
1721405859.9425018,1721405859.9527833,5,0.010281562805175781,6151,True,80.57.135.211:8095,80.57.135.211:8092,3
1721405860.628914,1721405860.632735, ,0.0038208961486816406,6185,False,80.57.135.211:8092,80.57.135.211:8095,3
1721405863.741666,1721405863.74306, ,0.001394033432006836,6185,False,80.57.135.211:8094,80.57.135.211:8095,3
1721405864.9575863,1721405864.9678748,5,0.010288476943969727,6151,True,80.57.135.211:8095,80.57.135.211:8092,3
1721405869.973019,1721405869.9838123,5,0.010793447494506836,6151,True,80.57.135.211:8095,80.57.135.211:8094,3
1721405873.7718318,1721405873.7719638, ,0.00013208389282226562,6185,False,80.57.135.211:8094,80.57.135.211:8095,3
1721405874.988927,1721405875.0005276,5,0.011600732803344727,6151,True,80.57.135.211:8095,80.57.135.211:8094,3
1721405880.4481428,1721405880.448297, ,0.00015425682067871094,6185,False,80.57.135.211:8093,80.57.135.211:8095,3
1721405883.807602,1721405883.8077207, ,0.00011873245239257812,6185,False,80.57.135.211:8094,80.57.135.211:8095,3
1721405885.008881,1721405885.0185807,5,0.009699583053588867,6151,True,80.57.135.211:8095,80.57.135.211:8092,3
1721405885.465968,1721405885.4681783, ,0.002210378646850586,6185,False,80.57.135.211:8093,80.57.135.211:8095,3
1721405888.8228056,1721405888.8255122, ,0.0027065277099609375,6185,False,80.57.135.211:8094,80.57.135.211:8095,3
1721405890.0227551,1721405890.03281,5,0.010054826736450195,6151,True,80.57.135.211:8095,80.57.135.211:8093,3
1721405893.838326,1721405893.8400466, ,0.0017206668853759766,6185,False,80.57.135.211:8094,80.57.135.211:8095,3
1721405894.6278698,1721405894.628018, ,0.0001480579376220703,105,False,80.57.135.211:8096,None,3
1721405895.0376017,1721405895.0489328,5,0.01133108139038086,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721405898.8551223,1721405898.8577487, ,0.0026264190673828125,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721405900.0539918,1721405900.0632977,5,0.009305953979492188,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721405905.0682135,1721405905.0786104,5,0.010396957397460938,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721405905.5006242,1721405905.5029519, ,0.0023276805877685547,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721405908.885582,1721405908.8857486, ,0.0001666545867919922,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721405910.0837343,1721405910.092749,5,0.00901484489440918,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721405913.8998294,1721405913.8999507, ,0.00012135505676269531,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721405915.097971,1721405915.1085224,5,0.01055145263671875,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721405918.9144807,1721405918.9160066, ,0.00152587890625,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721405920.1130793,1721405920.1229665,5,0.009887218475341797,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721405925.1283891,1721405925.1375556,5,0.009166479110717773,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721405930.1423998,1721405930.1512363,5,0.008836507797241211,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721405930.73976,1721405930.7398849, ,0.00012493133544921875,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721405935.1563256,1721405935.1668415,5,0.010515928268432617,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721405935.7583814,1721405935.7585292, ,0.00014781951904296875,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721405940.1725664,1721405940.1830556,5,0.010489225387573242,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721405940.5669408,1721405940.567063, ,0.00012230873107910156,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721405940.7835252,1721405940.7836947, ,0.00016951560974121094,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721405945.1880386,1721405945.1988287,5,0.010790109634399414,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721405950.2035403,1721405950.2136962,5,0.010155916213989258,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721405950.5921311,1721405950.5936728, ,0.0015416145324707031,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721405950.8000903,1721405950.801675, ,0.001584768295288086,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721405955.2193692,1721405955.2294888,5,0.01011967658996582,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721405955.6067505,1721405955.6068792, ,0.00012874603271484375,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721405960.2345624,1721405960.2448504,5,0.010288000106811523,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721405964.0221958,1721405964.0223174, ,0.00012159347534179688,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721405965.250122,1721405965.2596483,5,0.009526252746582031,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721405970.265147,1721405970.2744157,5,0.009268760681152344,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721405970.838936,1721405970.8390772, ,0.000141143798828125,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721405975.2794003,1721405975.2895312,5,0.010130882263183594,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721405979.0555134,1721405979.0556505, ,0.00013709068298339844,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721405980.2943501,1721405980.304374,5,0.010023832321166992,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721405985.6455276,1721405985.645659, ,0.00013136863708496094,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721405985.8831863,1721405985.8848224, ,0.0016360282897949219,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721405990.3113294,1721405990.3218043,5,0.010474920272827148,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721405995.3265839,1721405995.3426352,5,0.016051292419433594,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721405995.9009385,1721405995.9032338, ,0.002295255661010742,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406000.3474343,1721406000.3563645,5,0.008930206298828125,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406025.3702533,1721406025.379666,5,0.009412765502929688,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406025.9443493,1721406025.9444945, ,0.00014519691467285156,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406030.3857563,1721406030.3946764,5,0.00892019271850586,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406055.4089174,1721406055.4180286,5,0.009111166000366211,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406059.1747096,1721406059.174843, ,0.000133514404296875,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406060.4233394,1721406060.4345443,5,0.011204957962036133,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406060.996229,1721406060.9963536, ,0.0001246929168701172,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406065.4392097,1721406065.448691,5,0.009481191635131836,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406081.04389,1721406081.0439982, ,0.00010824203491210938,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406085.4609058,1721406085.4711866,5,0.010280847549438477,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406110.4869049,1721406110.5063813,5,0.01947641372680664,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406110.8353612,1721406110.8369923, ,0.001631021499633789,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406115.5203192,1721406115.5293076,5,0.008988380432128906,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406119.3307948,1721406119.3319633, ,0.0011684894561767578,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406120.5351284,1721406120.5478926,5,0.012764215469360352,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406120.8678203,1721406120.8702812, ,0.002460956573486328,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406124.3517058,1721406124.3519778, ,0.0002720355987548828,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406125.559459,1721406125.6158419,5,0.05638289451599121,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406125.8827865,1721406125.8829138, ,0.00012731552124023438,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406130.6268055,1721406130.6368942,5,0.010088682174682617,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406131.1003704,1721406131.1006927, ,0.0003223419189453125,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406135.6465583,1721406135.656213,5,0.009654760360717773,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406140.6622157,1721406140.6724916,5,0.010275840759277344,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406146.1502962,1721406146.1505113, ,0.00021505355834960938,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406150.6810002,1721406150.6897466,5,0.00874638557434082,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406175.7031431,1721406175.7124743,5,0.009331226348876953,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406179.4448028,1721406179.4449923, ,0.0001895427703857422,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406180.7174556,1721406180.7270617,5,0.009606122970581055,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406181.0544515,1721406181.054582, ,0.00013065338134765625,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406185.7319303,1721406185.741378,5,0.009447813034057617,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406186.0705934,1721406186.0707304, ,0.00013709068298339844,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406186.2102282,1721406186.2103868, ,0.00015854835510253906,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406190.745763,1721406190.7550008,5,0.00923776626586914,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406195.760586,1721406195.7705739,5,0.009987831115722656,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406199.499045,1721406199.5018566, ,0.0028116703033447266,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406200.7754045,1721406200.7938716,5,0.018467187881469727,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406225.806386,1721406225.8167117,5,0.01032567024230957,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406230.8219225,1721406230.8326135,5,0.010690927505493164,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406231.298428,1721406231.2985566, ,0.0001285076141357422,6185,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406235.8376813,1721406235.8495038,5,0.01182246208190918,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406260.8637755,1721406260.8755436,5,0.011768102645874023,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406261.1923022,1721406261.192466, ,0.00016379356384277344,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406264.5957017,1721406264.5996869, ,0.003985166549682617,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406265.8804002,1721406265.889796,5,0.009395837783813477,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406270.8948436,1721406270.9059894,5,0.011145830154418945,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406279.6411674,1721406279.6413305, ,0.00016307830810546875,6185,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406280.9124935,1721406280.9237125,5,0.011219024658203125,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406281.2407892,1721406281.243802, ,0.0030128955841064453,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406285.92865,1721406285.9392602,5,0.010610342025756836,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406301.3006365,1721406301.302933, ,0.00229644775390625,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406305.949877,1721406305.9598951,5,0.010018110275268555,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406326.3310325,1721406326.336464, ,0.005431413650512695,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406330.9790227,1721406330.9861972,5,0.007174491882324219,6151,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406355.9994595,1721406356.0116086,5,0.01214909553527832,6151,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406361.0183303,1721406361.0311797,5,0.01284933090209961,6151,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406366.0359824,1721406366.0502546,5,0.014272212982177734,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406366.410076,1721406366.41195, ,0.0018742084503173828,6185,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406371.0549006,1721406371.0639248,5,0.00902414321899414,6151,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406371.51707,1721406371.5172665, ,0.0001964569091796875,6635,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406376.0695295,1721406376.077798,5,0.008268356323242188,6635,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406379.806603,1721406379.8068001, ,0.0001971721649169922,6635,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406381.0838978,1721406381.0931687,5,0.009270906448364258,6601,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406384.8211238,1721406384.8238256, ,0.0027017593383789062,6635,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406386.0985467,1721406386.1109402,5,0.012393474578857422,6601,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406396.4536054,1721406396.4556725, ,0.002067089080810547,6669,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406401.1256418,1721406401.1405342,5,0.014892339706420898,6601,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406401.593194,1721406401.5959568, ,0.0027627944946289062,6635,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406406.1466203,1721406406.16167,5,0.01504969596862793,6601,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406431.1756546,1721406431.189893,5,0.014238357543945312,6601,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406431.6523335,1721406431.6541448, ,0.0018112659454345703,6635,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406436.1961432,1721406436.2059577,5,0.00981450080871582,6601,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406461.2224517,1721406461.2328548,5,0.010403156280517578,6601,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406466.2386553,1721406466.2981434,5,0.05948805809020996,6601,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406466.5721567,1721406466.572286, ,0.00012922286987304688,6635,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406471.3039322,1721406471.3137236,5,0.009791374206542969,6601,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406476.7671869,1721406476.7691314, ,0.0019445419311523438,7009,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406481.3249626,1721406481.3350394,5,0.010076761245727539,6975,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406504.9878461,1721406504.9880092, ,0.00016307830810546875,6635,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406506.348545,1721406506.3578696,5,0.00932455062866211,6975,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406520.0362225,1721406520.0379345, ,0.0017120838165283203,6635,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406521.367191,1721406521.375654,5,0.008462905883789062,6975,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406525.0654142,1721406525.0707428, ,0.005328655242919922,7009,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406526.381502,1721406526.392941,5,0.011439085006713867,6941,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406531.7055087,1721406531.7082012, ,0.0026924610137939453,7401,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406535.0976286,1721406535.0997624, ,0.0021338462829589844,7435,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406536.400861,1721406536.4099097,5,0.009048700332641602,7401,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406541.4148102,1721406541.4273894,5,0.012579202651977539,7367,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406541.7383819,1721406541.738515, ,0.00013303756713867188,7401,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406545.1183958,1721406545.1185522, ,0.000156402587890625,7401,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406546.4318128,1721406546.441361,5,0.009548187255859375,7367,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406551.447041,1721406551.4589803,5,0.011939287185668945,7367,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406556.789074,1721406556.78927, ,0.00019598007202148438,7401,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406561.4672208,1721406561.4800527,5,0.012831926345825195,7367,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406570.1847832,1721406570.1849585, ,0.00017523765563964844,7401,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406571.4884846,1721406571.5026486,5,0.014163970947265625,7367,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406575.2040145,1721406575.206621, ,0.0026063919067382812,7401,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406576.5097368,1721406576.5240307,5,0.014293909072875977,7367,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406581.8599102,1721406581.8600633, ,0.00015306472778320312,7401,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406586.5344942,1721406586.555957,5,0.02146291732788086,7367,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406611.5719678,1721406611.5834785,5,0.011510610580444336,7367,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406616.5899487,1721406616.6033788,5,0.013430118560791016,7367,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406617.0093882,1721406617.009541, ,0.00015282630920410156,7401,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406621.6082323,1721406621.6246274,5,0.016395092010498047,7367,True,80.57.135.211:8095,80.57.135.211:8093,4
1721406621.942941,1721406621.9446867, ,0.0017457008361816406,7401,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406626.6374514,1721406626.646649,5,0.009197473526000977,7367,True,80.57.135.211:8095,80.57.135.211:8096,4
1721406650.3136957,1721406650.3170905, ,0.0033948421478271484,7401,False,80.57.135.211:8094,80.57.135.211:8095,4
1721406651.665085,1721406651.6772838,5,0.012198686599731445,7367,True,80.57.135.211:8095,80.57.135.211:8092,4
1721406652.1314845,1721406652.1316457, ,0.00016117095947265625,7401,False,80.57.135.211:8092,80.57.135.211:8095,4
1721406656.6826217,1721406656.691933,5,0.009311199188232422,7367,True,80.57.135.211:8095,80.57.135.211:8094,4
1721406671.9962218,1721406671.9993181, ,0.003096342086791992,7401,False,80.57.135.211:8093,80.57.135.211:8095,4
1721406676.707062,1721406676.718414,5,0.011352062225341797,7367,True,80.57.135.211:8095,80.57.135.211:8092,4
